	$\frac{\Delta G^\circ_{MPNN}-\mu}{\sigma}$	$\Delta G^\circ_{MPNN}(\mu=-411.2,\sigma=40.9$	$\Delta G^\circ_{GCM}$
1-3-7-TRIMETHYLXANTHINE	-1.6447384357452393	-478.5308532714844	304.855469904
1-4-HYDROXYPHENYL-2-METHYLAMINOETHAN	-0.6749590039253235	-438.8455810546875	431.38558792
1-7-DIMETHYLXANTHINE	-1.56585693359375	-475.3028869628906	167.56907448
1-AMINO-PROPAN-2-OL	3.9651992321014404	-248.96112060546875	241.413210128
1-CARBOXYGLUTAMIC_ACID	-4.319189071655273	-587.9746704101562	-724.3357536
1-DEOXYNOJIRIMYCIN	-2.4486663341522217	-511.42919921875	6.8769169584
1-DEOXYXYLONOJIRIMYCIN	-1.5420868396759033	-474.3301696777344	80.840679024
1-ETHYLADENINE	-0.26149722933769226	-421.9259033203125	742.1583384
1-INDANOL	0.585541844367981	-387.2633972167969	442.1283008
1-INDANONE	0.7085263729095459	-382.2306213378906	377.14140864
1-KETO-2-METHYLVALERATE	-2.103492259979248	-497.3039855957031	-196.270368896
1-METHYL-MYO-INOSITOL	-3.7928543090820312	-566.43603515625	-257.375902328
12-DIHYDROXY-6-METHYLCYCLOHEXA-35-DIEN	-1.9670722484588623	-491.7214050292969	-168.33056248
1235-TETRAHYDROXYBENZENE	-1.9963324069976807	-492.9187927246094	-279.12832168
13-DINITROBENZENE	-2.4807474613189697	-512.7420043945312	-236.377247312
15-ANHYDRO-D-FRUCTOSE	-2.920255661010742	-530.7275390625	-289.40230104
15-ANHYDRO-D-GLUCITOL	-2.914642572402954	-530.4978637695312	-230.900558672
15-DIDEOXY-15-IMINO-D-GALACTITOL	-2.4486663341522217	-511.42919921875	6.8769169584
17-DIAMINOHEPTANE	0.6068544983863831	-386.3912353515625	849.41132912
18-DIAMINOOCTANE	0.5505884885787964	-388.6937561035156	942.1380576
2-3-DIHYDRODIPICOLINATE	-2.3271732330322266	-506.45745849609375	-376.57100392
2-3-DIHYDROXYBENZOATE	-1.8302035331726074	-486.1204528808594	-338.7636268
2-3-DIHYDROXYPHENYL-PROPIONATE	-2.0048913955688477	-493.26904296875	-146.824827584
2-5-DIHYDROXYPYRIDINE	0.5699931383132935	-387.899658203125	-3.0727312736
2-ACETO-2-HYDROXY-BUTYRATE	-2.030519723892212	-494.31781005859375	-248.66334156
2-ACETO-LACTATE	-2.0117266178131104	-493.5487365722656	-341.39017464
2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI	-3.065823554992676	-536.6844482421875	-405.52432576
2-AMINO-3-KETOADIPATE	-3.029907703399658	-535.2147216796875	-475.26227544
2-AMINO-4-CARBOXYPYRIMIDINE	-1.4145209789276123	-469.10992431640625	-55.051306352
2-AMINO-4-OXO-4-ALPHA-HYDROXY-	-7.059872150421143	-700.1288452148438	-333.24045392
2-AMINO-4-OXO-6-123-TRIHYDROXYPROP	-5.420672416687012	-633.049560546875	-62.32645392
2-AMINO-47-DIHYDROXYPTERIDINE	-1.864180088043213	-487.5108642578125	37.265206032
2-AMINO-ETCETERA-DIHYDROXYPTERIDINE	-4.42945671081543	-592.487060546875	-132.478385296
2-AMINO-MUCONATE	-2.441692590713501	-511.143798828125	-271.77310072
2-AMINOACRYLATE	1.6239449977874756	-344.7698669433594	-71.020893784
2-AMINOMALONATE-SEMIALDEHYDE	0.9763988852500916	-371.26873779296875	-264.9074496
2-AMINOMUCONATE_SEMIALDEHYDE	-1.374286413192749	-467.46343994140625	-16.5909813048
2-AMINOPHENOL	1.3646600246429443	-355.38031005859375	276.38600256
2-BETA-D-GLUCOSYL-SN-GLYCEROL	-5.547390460968018	-638.235107421875	-375.63880872
2-BUTYNE-14-DIOL	2.871541738510132	-293.71575927734375	272.239215056
2-CARBOXY-D-ARABINITOL	-4.6340556144714355	-600.859619140625	-658.60222664
2-CARBOXYMUCONATE	-3.5572586059570312	-556.7949829101562	-739.16711312
2-CH2-GLUTARATE	-2.401515007019043	-509.4996643066406	-341.253382944
2-COUMARATE	-1.0616328716278076	-454.6690368652344	-0.68708710784
2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	-3.028513193130493	-535.1576538085938	-411.27479444
2-DEHYDRO-3-DEOXY-D-FUCONATE	-2.92370867729187	-530.8688354492188	-343.13808248
2-DEHYDRO-3-DEOXY-D-GALACTONATE	-3.8167190551757812	-567.41259765625	-535.60204064
2-DEHYDRO-3-DEOXY-D-GLUCONATE	-3.8167190551757812	-567.41259765625	-535.60204064
2-DEHYDROPANTOATE	-2.0469090938568115	-494.9884948730469	-238.370735032
2-DEHYDROPANTOYL-LACTONE	-1.1933770179748535	-460.0602722167969	-56.153597888
2-DEOXYRIBOSE	-1.9905412197113037	-492.6817932128906	-162.292351752
2-DH-3-DO-D-ARABINONATE	-2.9004249572753906	-529.916015625	-469.169593216
2-ETHYLHEXAN-1-OL	0.47422483563423157	-391.8186950683594	624.5046768
2-FLUOROBENZOATE	-1.574683427810669	-475.6640625	-228.143377984
2-FUROATE	-0.11753076314926147	-416.0345153808594	-296.891175696
2-HYDROXY-2-METHYLPROPANENITRILE	3.121333360671997	-283.4937744140625	166.179450928
2-HYDROXY-4-CARBOXYPYRIMIDINE	-1.8789424896240234	-488.1149597167969	-280.1970408
2-HYDROXYCYCLOHEXAN-1-ONE	0.34658923745155334	-397.04180908203125	203.640317536
2-HYDROXYMETHYL-3-ACETAMIDOMETHYLENE	-4.10336446762085	-579.1427001953125	-496.67485776
2-HYDROXYMETHYL-4-OXOBUTANOATE	-2.005462646484375	-493.29241943359375	-314.19419556
2-HYDROXYPYRIDINE	2.402043104171753	-312.9285583496094	162.11161132
2-HYDROXYSUCCINAMATE	-2.333373546600342	-506.711181640625	-406.87450256
2-KETO-3-DEOXY-D-GLUCARATE	-4.683804512023926	-602.8954467773438	-849.274596
2-KETO-3-METHYL-VALERATE	-1.155064582824707	-458.492431640625	-73.27008248
2-KETO-4-HYDROXY-5-AMINO-VALERATE	-2.4605941772460938	-511.91729736328125	-234.42914344
2-KETO-6-ACETAMIDOCAPROATE	-2.51400089263916	-514.102783203125	-64.720727
2-KETO-6-AMINO-CAPROATE	-1.6027498245239258	-476.8126220703125	17.4570078
