	$\frac{\Delta G^\circ_{MPNN}-\mu}{\sigma}$	$\Delta G^\circ_{MPNN}(\mu=-411.2,\sigma=40.9$	$\Delta G^\circ_{GCM}$
2-KETO-GLUTARAMATE	-2.3228676319122314	-506.28125	-356.24816532
2-KETO-ISOVALERATE	-0.35419517755508423	-425.7192687988281	-165.99693648
2-KETO-L-GULONOLACTONE	-3.736015796661377	-564.110107421875	-521.288886256
2-KETOGLUTARATE	-2.9130072593688965	-530.430908203125	-626.61157184
2-METHOXYETHANOL	3.416426181793213	-271.4179992675781	71.374697008
2-METHOXYETHYLAMINE	3.724916696548462	-258.7939453125	303.5038036
2-METHYL-L-SERINE	-0.7124524116516113	-440.3798828125	-139.410528544
2-METHYLMALEATE	-1.8987045288085938	-488.92364501953125	-437.703946736
2-METHYLPROPANAL-O-METHYLOXIME	1.400597095489502	-353.9096984863281	404.64434688
2-METHYLPROPANAL-OXIME	2.6348118782043457	-303.4031982421875	257.400064928
2-NITROTOLUENE	-0.5394319295883179	-433.2995300292969	151.74464256
2-O-ALPHA-MANNOSYL-D-GLYCERATE	-6.387387752532959	-672.6094970703125	-686.70008784
2-OXOBUT-3-ENANOATE	0.1567239910364151	-404.81146240234375	-263.0844808
2-OXOBUTANOATE	0.5697371959686279	-387.91015625	-251.150733744
2-OXOHEXANOATE	-1.170802354812622	-459.136474609375	-65.697055032
2-OXOSUCCINAMATE	-2.318739414215088	-506.1123046875	-448.97491472
2-PYRAZOLINE	5.195433139801025	-198.6175079345703	363.15751832
2-UREIDO-PROPIONATE	-1.9215574264526367	-489.8588562011719	-228.212999744
2-hydroxy-4-1H-quinolone	-0.3458126485347748	-425.3762512207031	144.468679112
23-PENTANEDIONE	1.4493257999420166	-351.9156494140625	92.671265376
246-TRINITROBENZENE	-4.319610595703125	-587.991943359375	-545.3703836
24DINH2-PENTANOATE	-1.1930997371673584	-460.0489196777344	191.386636736
25-DIDEHYDRO-D-GLUCONATE	-4.677976608276367	-602.656982421875	-747.15457832
256-TRIHYDROXY-56-DIHYDROQUINOLINE	-1.4965777397155762	-472.46783447265625	113.42861656
26-DIFLUORO-4-HYDROXYPHENYLPYRUVATE	-4.808940887451172	-608.0162963867188	-611.76966864
2CH2-3CH3-SUCC	-2.3864009380340576	-508.88116455078125	-348.82643968
2H6OH2-4DIENOATE	-1.9839134216308594	-492.41058349609375	-162.69157648
2INDANONE	0.6792641878128052	-383.4280700683594	383.62665048
2K-4CH3-PENTANOATE	-1.161452054977417	-458.75384521484375	-73.27008248
2K-ADIPATE	-2.9019923210144043	-529.9801635742188	-530.95595968
3-34-DIHYDROXYPHENYLLACTATE	-2.8780760765075684	-529.00146484375	-305.984145744
3-4-DIHYDROXYBENZOATE	-1.859187364578247	-487.3065490722656	-338.7636268
3-7-DIMETHYLXANTHINE	-1.6285679340362549	-477.869140625	167.56907448
3-AMINO-12-PROPANEDIOL	2.435688018798828	-311.5517578125	89.82690268
3-B-D-GALACTOSYL-SN-GLYCEROL	-5.5863142013549805	-639.8279418945312	-375.63880872
3-CARBOXY-3-HYDROXY-ISOCAPROATE	-3.065955877304077	-536.6898803710938	-417.21605352
3-CARBOXY-4-METHOXY-N-METHYL-2-PYRIDONE	-2.321598768234253	-506.2293395996094	-147.833673664
3-CYANOPYRIDINE	2.1994097232818604	-321.220703125	332.52126616
3-DE-H-CARNITINE	-1.6019761562347412	-476.78094482421875	59.892148328
3-DEAZAADENINE	-0.05296236276626587	-413.3922424316406	451.64936936
3-DEHYDRO-ALPHA-GLUCOSE	-3.7654972076416016	-565.3165283203125	-456.092835936
3-DEHYDRO-SHIKIMATE	-2.838127851486206	-527.36669921875	-445.153441584
3-ETHYLCATECHOL	-0.26780328154563904	-422.1839599609375	223.09592172
3-HYDROXY-1H-QUINOLIN-4-ONE	-0.3517579138278961	-425.6195373535156	136.589458176
3-HYDROXY-4H-PYRID-4-ONE	0.5638829469680786	-388.14971923828125	17.4707104
3-HYDROXY-ANTHRANILATE	-1.3925487995147705	-468.21075439453125	-113.617934192
3-HYDROXY-CISCIS-MUCONATE	-2.7998006343841553	-525.7982788085938	-509.124826736
3-HYDROXY-ETCETERA-CARBOXYLATE	-2.1918466091156006	-500.91961669921875	-221.221033664
3-HYDROXY-L-PROLINE	-1.5170912742614746	-473.3072814941406	-67.445690888
3-HYDROXY-N6N6N6-TRIMETHYL-L-LYSINE	-1.9913132190704346	-492.71337890625	370.70859232
3-HYDROXY-PROPIONATE	2.1655666828155518	-322.60565185546875	-304.8313868
3-HYDROXYAMINOPHENOL	-0.16034621000289917	-417.7865905761719	138.14666348
3-HYDROXYBENZOATE	-1.075580358505249	-455.23980712890625	-173.579340272
3-HYDROXYCYCLOHEXANONE	0.3726692795753479	-395.97454833984375	203.640317536
3-HYDROXYPHENYL-PROPIONATE	-1.2731342315673828	-463.3240966796875	18.3595275616
3-HYDROXYPHENYLACETATE	-1.1460192203521729	-458.1222839355469	-74.367328112
3-KETO-ADIPATE	-2.9287664890289307	-531.0758056640625	-541.24864152
3-KETO-L-GULONATE	-4.692754745483398	-603.26171875	-705.054208
3-KETOBUTYRATE	1.1726362705230713	-363.2383117675781	-280.14587048
3-METHYLBENZYL-ALCOHOL	0.6350840330123901	-385.23602294921875	388.2802208
3-METHYLENEOXINDOLE	-0.06505942344665527	-413.88726806640625	331.1127644
3-METHYLOXINDOLE	0.2982039451599121	-399.0218200683594	370.9956984
3-METHYLXANTHINE	-1.7246227264404297	-481.7998962402344	30.282624664
3-Methyl-Adenines	-0.25300726294517517	-421.5784606933594	649.4314844
3-NITROACRYLATE	-1.2391047477722168	-461.9315185546875	-436.89250596
3-NITROBENZALDEHYDE	-1.349243402481079	-466.4386291503906	-52.611293784
3-NITROBENZYL-ALCOHOL	-1.3936476707458496	-468.2557373046875	0.158333785672
3-NITROTOLUENE	-0.5727767944335938	-434.6640625	151.74464256
3-OH-BENZALDEHYDE	-0.246805340051651	-421.3246765136719	91.19747648
3-OH-BENZYL-ALCOHOL	-0.2504468560218811	-421.47369384765625	143.96713048
3-OXO-6-ACETAMIDOHEXANOATE	-2.4615063667297363	-511.9546203613281	-75.013329344
3-OXOADIPATE-ENOL-LACTONE	-1.9671790599822998	-491.72576904296875	-375.70836772
3-PHENYLPROPIONATE	-0.38593244552612305	-427.0180358886719	183.543854256
3-PYRIDYLACETIC-ACID	-0.6199158430099487	-436.5931091308594	36.503994176
3-URACIL-1-YL-L-SERINE	-3.2284810543060303	-543.3407592773438	-185.643678336
3-UREIDO-ISOBUTYRATE	-1.9252302646636963	-490.0091552734375	-135.486145744
3-UREIDO-PROPIONATE	-1.8641705513000488	-487.5104675292969	-220.640001584
34-DIHYDROXYPHENYLACETALDEHYDE	-1.1785354614257812	-459.4529113769531	25.22518956
34-DIHYDROXYPHENYLPYRUVATE	-2.741976261138916	-523.4320068359375	-348.084591376
34-DIMETHYLBENZYL-ALCOHOL	0.6024542450904846	-386.5712890625	467.4090748
35-DIMETHYLBENZYL-ALCOHOL	0.5966657400131226	-386.80816650390625	467.4090748
3H1INDANONE	-0.26616010069847107	-422.11669921875	210.45086956
4--FLUOROGLUTAMATE	-3.6971096992492676	-562.5179443359375	-228.492599728
4-3-PYRIDYL-BUTANOATE	-0.9030609726905823	-448.1799621582031	221.95762268
4-AMINO-4-DEOXY-L-ARABINOSE	-2.5222320556640625	-514.4396362304688	-91.498255872
4-AMINO-5-IMIDAZOLE_CARBOXYLATE	-0.2994946241378784	-423.4808349609375	-8.428245416
4-AMINO-BUTYRALDEHYDE	2.919462203979492	-291.7547607421875	295.428666864
4-AMINO-BUTYRATE	1.3015031814575195	-357.96484375	33.26317656
4-CARBOXYBENZALDEHYDE	-0.9704206585884094	-450.93646240234375	-133.62214864
4-CARBOXYBENZYL-ALCOHOL	-1.0998961925506592	-456.2348327636719	-80.852553216
4-CARBOXYMETHYLENEBUT-2-EN-4-OLIDE	-2.0031042098999023	-493.1958923339844	-463.6236008
4-ETHYLBENZYL-ALCOHOL	0.5683978199958801	-387.9649658203125	481.0070748
4-FLUOROBENZOATE	-1.6160926818847656	-477.358642578125	-217.683377984
4-FUMARYL-ACETOACETATE	-3.6960244178771973	-562.4735107421875	-572.71227968
4-GUANIDO-BUTYRAMIDE	-0.895601212978363	-447.87469482421875	430.75330184
4-HYDROPEROXYOCTADECA-T-2-NONENAL	-1.0144882202148438	-452.7397766113281	423.41218096
4-HYDROXY-2-BUTYNAL	2.829636335372925	-295.43060302734375	225.954769424
4-HYDROXY-2-KETOVALERATE	-1.981496810913086	-492.3116760253906	-317.58329832
4-HYDROXY-BENZYL-ALCOHOL	-0.24997666478157043	-421.4544677734375	143.96713048
4-HYDROXY-BUTYRATE	0.9732350707054138	-371.398193359375	-201.47725648
4-HYDROXY-L-PROLINE	-1.5153563022613525	-473.2362976074219	-67.445690888
4-HYDROXYAMINOQUINOLINE-N-OXIDE	-0.19871917366981506	-419.3569030761719	286.80886956
4-HYDROXYBENZALDEHYDE	-0.25135311484336853	-421.5107727050781	91.19747648
4-HYDROXYCYCLOHEXANECARBOXYLATE	-1.188671350479126	-459.8677062988281	43.807576208
4-HYDROXYMETHYLPHENYLHYDRAZINE	0.20538324117660522	-402.8202209472656	456.0191808
4-HYDROXYMUCONIC-SEMIALDEHYDE	-2.0043842792510986	-493.248291015625	-241.736721192
4-HYDROXYPHENYLACETATE	-1.1524014472961426	-458.3834533691406	-74.367328112
4-IMIDAZOLEACETATE	-0.9977934956550598	-452.0566101074219	-21.86750864
4-IMIDAZOLONE-5-PROPIONATE	-1.9838299751281738	-492.40716552734375	-121.43733648
4-MALEYL-ACETOACETATE	-3.6960244178771973	-562.4735107421875	-572.71227968
4-METHYL-MYO-INOSITOL	-3.7928543090820312	-566.43603515625	-257.375902328
4-METHYLBENZYL-ALCOHOL	0.6308206915855408	-385.4104919433594	388.2802208
4-METHYLCATECHOL	-0.22496753931045532	-420.4310302734375	130.36913048
4-METHYLPENTANAL	1.7091591358184814	-341.2827453613281	392.7665148
4-METHYLRESORCINOL	-0.22513902187347412	-420.43804931640625	130.36913048
4-NITROANILINE	-1.0309829711914062	-453.4147644042969	139.56058352
4-NITROQUINOLINE-N-OXIDE	-1.3259665966033936	-465.486083984375	56.093720664
4-OH-4-ACETYL-2-OXOGLUTARATE	-5.616392612457275	-641.058837890625	-1078.7730628
4-OXALOMESACONATE	-4.412919044494629	-591.810302734375	-921.38031312
4-OXOCYCLOHEXANECARBOXYLATE	-1.2205398082733154	-461.17181396484375	-14.69406156
4-OXOGLUTARAMATE	-2.316030979156494	-506.00146484375	-356.24816532
4-OXOPROLINE	-1.499993085861206	-472.60760498046875	-144.370330008
4-TOLUENECARBOXYLATE	-0.2182708978652954	-420.156982421875	70.733779336
4-TRIMETHYLAMMONIOBUTANAL	0.2697818875312805	-400.1849060058594	533.61012192
4-hydroxy-2-1H-quinolone	-0.4064815640449524	-427.85894775390625	84.637474928
4-hydroxybenzoate	-1.0692307949066162	-454.9799499511719	-173.579340272
4S5S-45-DIHYDROXY-26-DIOXOHEXANOATE	-3.7785427570343018	-565.850341796875	-581.88653648
5-ACETAMIDOVALERATE	-1.6425893306732178	-478.44293212890625	43.812266472
5-AMINO-2-OXOPENTANOATE	-1.5736749172210693	-475.622802734375	-75.26978344
5-AMINO-5-DEOXY-D-GALACTOPYRANOSIDE	-3.304964303970337	-546.4705810546875	-159.813641368
5-AMINO-LEVULINATE	-1.5936565399169922	-476.44049072265625	-85.56242344
5-AMINOPENTANAMIDE	0.7897686958312988	-378.906005859375	388.20202184
5-AMINOPENTANOATE	0.2749100923538208	-399.97503662109375	125.989938512
5-AZAOROTATE	-3.089235782623291	-537.642578125	-672.27307008
5-DEHYDROGLUCONATE	-4.697261810302734	-603.4461669921875	-705.054208
5-HYDROXY-4-IMIDAZOLEACETATE	-1.897657871246338	-488.8808288574219	-232.353268576
5-HYDROXY-PIPECOLATE	-1.568835735321045	-475.4247741699219	31.8081135744
5-HYDROXYISOURATE	-3.4205143451690674	-551.1990966796875	-470.26281384
5-HYDROXYPENTANOATE	-0.19372695684432983	-419.1526184082031	-108.75040248
5-KETO-4-DEOXY-D-GLUCARATE	-4.683804512023926	-602.8954467773438	-849.274596
5-METHYL-BARBITURATE	-1.9348533153533936	-490.4029541015625	-198.515976088
5-O-METHYL-MYO-INOSITOL	-3.7928543090820312	-566.43603515625	-257.375902328
5-OH-2-4-DIOXOPENTANOATE	-2.9188084602355957	-530.6683349609375	-521.56262864
5-OXOHEXANOATE	-1.16215181350708	-458.782470703125	-75.989690848
5-OXOPROLINE	-1.495448350906372	-472.421630859375	-204.20154256
5-UREIDO-4-IMIDAZOLE_CARBOXYLATE	-2.6138815879821777	-518.1901245117188	-212.699731904
5-VALEROLACTONE	1.240314245223999	-360.46881103515625	99.951433744
56-DIHYDROXYINDOLE-2-CARBOXYLATE	-1.8963606357574463	-488.8277587890625	-278.29599856
6-AZAURIDINE	-4.894461631774902	-611.5159912109375	-349.47981312
6-DEOXY-D-GLUCOSE	-2.9043056964874268	-530.0748291015625	-236.2978852
6-HYDROXY-NICOTINATE	-1.4964981079101562	-472.4645690917969	-227.8923338
6-HYDROXYHEXAN-6-OLIDE	-1.1832537651062012	-459.64599609375	32.5146953608
6-LACTOYL-5678-TETRAHYDROPTERIN	-3.019465684890747	-534.7874145507812	229.59938488
6-METHYL-INDOLE	1.195143699645996	-362.3172607421875	521.2054824
6-OXO-HEXANOATE	-1.1737830638885498	-459.2584228515625	-62.307985744
6-PYRUVOYL-5678-TETRAHYDROPTERIN	-2.9719998836517334	-532.8450317382812	187.49893088
7-AMINOMETHYL-7-DEAZAGUANINE	-1.1921210289001465	-460.00885009765625	356.7703076
7-CYANO-7-DEAZAGUANINE	-1.1076931953430176	-456.55389404296875	202.324006032
7-METHYLXANTHINE	-1.6599342823028564	-479.1527099609375	30.282624664
8-AMINO-7-OXONONANOATE	-1.8664088249206543	-487.60205078125	277.7717852
8-HYDROXYQUINOLINE	0.36837977170944214	-396.15008544921875	289.10954656
A-PYRIMIDODIAZEPINE	-2.1893765926361084	-500.81854248046875	334.31130688
ACET	5.168848037719727	-199.70542907714844	-241.704224064
ACETALD	7.0555572509765625	-122.49755859375	32.1518710144
ACETAMIDE	5.658218860626221	-179.67941284179688	29.478784124
ACETOL	3.783241033554077	-256.4072265625	-43.1089026
ACETONE-OXIME	4.488070487976074	-227.56419372558594	162.330196032
ACETONE	5.8556389808654785	-171.6005859375	98.142933216
ACETYL-GLU	-3.3836517333984375	-549.690673828125	-429.01957776
ACETYLCHOLINE	-0.6094483137130737	-436.16473388671875	323.69880008
ACETYLENE	8.448506355285645	-65.49533081054688	609.28345216
ACETYLSERINE	-2.572707414627075	-516.5051879882812	-289.36506344
ACROLEIN	4.9362616539001465	-209.22332763671875	120.51796524
ACRYLAMIDE	3.6392982006073	-262.2976379394531	120.564474584
ACRYLATE	3.0946948528289795	-284.5838623046875	-158.5681608
ACRYLONITRILE	5.599940299987793	-182.0642852783203	250.970394976
ADENINE	-0.39087963104248047	-427.2204895019531	525.5338304
ADIPATE	-2.0449600219726562	-494.9087219238281	-329.69618752
AGMATHINE	-0.19172519445419312	-419.0706787109375	706.5089848
ALA-GLY	-1.9868011474609375	-492.52874755859375	-66.060351752
ALLANTOATE	-3.6093661785125732	-558.9273071289062	-398.9620774
ALLYL-ALCOHOL	4.907955169677734	-210.38168334960938	173.2875774
ALLYSINE	-1.7210705280303955	-481.654541015625	13.2729872984
ALPHA-AMINOPHENYL-GLYOXYLATE	-1.428760051727295	-469.6925964355469	-50.48136164
ALPHA-D-GALACTOSE	-3.81333065032959	-567.27392578125	-397.59112704
ALPHA-GLUCOSE	-3.8133301734924316	-567.27392578125	-397.59112704
ALPHA-METHYLDOPAMINE	-0.8757371306419373	-447.0617980957031	388.79246792
ALTROSE	-3.7631940841674805	-565.2222900390625	-387.884272144
AMIDINOPROCLAVAMINATE	-3.808957099914551	-567.094970703125	178.815532592
AMINO-ACETONE	4.256198883056641	-237.05284118652344	189.02019144
AMINO-ETCETERA-PYRIDIN-1-YL-PROPANOATE	-2.7391934394836426	-523.318115234375	-54.734954112
AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE	-1.9211719036102295	-489.84307861328125	177.74088056
AMINO-OXOBUT	-0.29251664876937866	-423.1952819824219	-185.86231744
AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE	-5.139072418212891	-621.5259399414062	-153.47778088
AMINOBUT-CPD	-0.38082998991012573	-426.8092346191406	-125.896191808
AMINOHYDROQUINONE	-0.5736825466156006	-434.7011413574219	111.20168256
AMINOMALONATE	-0.5626528263092041	-434.2497863769531	-529.68421196
AMMONIA	8.817612648010254	-50.390777587890625	49.594466608
AMMONIUM	8.389876365661621	-67.89459228515625	91.263190384
ANILINE	3.4527812004089355	-269.9302978515625	441.57032256
ANTHRANILATE	-0.5669164061546326	-434.42425537109375	51.566385808
ARABINOSE	-2.9342219829559326	-531.299072265625	-323.6273792
ARG	-2.1919031143188477	-500.92193603515625	334.23775216
ARGININE-METHYL-ESTER	-1.970200538635254	-491.84942626953125	472.23548616
ASCORBATE	-3.7918243408203125	-566.3938598632812	-613.89417832
ASN	-1.8878531455993652	-488.4796142578125	-182.13382952
AZIRIDINE	6.870176792144775	-130.08367919921875	343.40041928
Alpha-D-Talose	-3.813330888748169	-567.27392578125	-397.59112704
B-ALANINE	2.4537954330444336	-310.8107604980469	-59.46367744
BACIMETHRIN	-1.5024020671844482	-472.7061767578125	250.705673296
BARBITAL	-2.111589193344116	-497.63531494140625	30.2513894304
BARBITURATE	-1.7818377017974854	-484.1412353515625	-338.05042216
BENZALDEHYDE	1.7586686611175537	-339.2567138671875	256.381821584
BENZENE-NO2	-0.5705853700637817	-434.57440185546875	72.615838768
BENZENE	4.743295669555664	-217.119873046875	382.36207832
BENZIMIDAZOLE	0.7849412560462952	-379.10357666015625	395.92238048
BENZOATE	-0.16224825382232666	-417.86444091796875	-8.3950194352
BENZOSEMIQUINONE	0.9059926271438599	-374.14990234375	8.2659074712
BENZOYL-ACETATE	-1.2563838958740234	-462.6386413574219	-34.493820664
BENZYL-ALCOHOL	1.6262741088867188	-344.674560546875	316.18052864
BENZYLAMINE	2.2682957649230957	-318.4017639160156	541.28056544
BETA-ALANINE-METHYL-ESTER	1.0970830917358398	-366.3301086425781	85.517386864
BETA-AMINOPROPIONITRILE	4.748772144317627	-216.89576721191406	326.66910536
BETA-D-FRUCTOSE	-3.8081276416778564	-567.06103515625	-401.31488704
BETA-D-XYLOSE	-2.9342217445373535	-531.299072265625	-323.6273792
BETA-L-ARABINOSE	-2.9342222213745117	-531.299072265625	-323.6273792
BETAINE-ALDEHYDE-HYDRATE	-0.3868201971054077	-427.0543518066406	235.28146608
BETAINE	-0.2978248596191406	-423.4125061035156	85.990915248
BETAINE_ALDEHYDE	1.5175836086273193	-349.12237548828125	348.15645576
BUTADIENE	4.348416328430176	-233.27911376953125	417.67503832
BUTANAL	4.19909143447876	-239.38978576660156	224.132553744
BUTANEDIOL	2.377553701400757	-313.93072509765625	94.437913352
BUTANOL	4.092654228210449	-243.7454071044922	257.90680172
BUTYL-HYDROPEROXIDE	2.2258310317993164	-320.1394958496094	143.014149168
BUTYLAMINE	4.392587184906006	-231.4715576171875	493.29937392
BUTYRAMIDE	3.0079150199890137	-288.13507080078125	214.932473296
BUTYRIC_ACID	2.563805341720581	-306.3089294433594	-53.11259556
C-3-NONENAL	0.47636330127716064	-391.731201171875	686.12549912
C8	-3.169151544570923	-540.912841796875	-83.195969776
CADAVERINE	1.889542818069458	-333.9010925292969	663.95774664
CANAVANINE	-2.549255132675171	-515.5454711914062	144.44214
CANAVANINOSUCCINATE	-6.320598125457764	-669.8762817382812	-401.56052968
CARBAMATE	5.031026363372803	-205.34536743164062	-314.343141776
CARBAMOYL-SARCOSINE	-1.810819149017334	-485.32720947265625	-286.62161464
CARBAMOYLOXAMATE	-2.4408512115478516	-511.109375	-470.6851468
CARBAMYUL-L-ASPARTATE	-3.717986583709717	-563.372314453125	-600.74503784
CARBON-DIOXIDE	7.043622970581055	-122.98593139648438	-386.01584
CARBON-MONOXIDE	9.196069717407227	-34.903564453125	-137.2352
CARBOXYETHYL-3-5-CYCLOHEXADIENE-1-2-DIOL	-1.9032599925994873	-489.1100769042969	-63.302844712
CARBOXYMETHOXYLAMINE	1.9765756130218506	-330.33953857421875	-258.853988192
CARNITINE	-1.5646817684173584	-475.2547912597656	112.2851712
CARNOSINE	-2.8956408500671387	-529.7202758789062	240.14352512
CATECHOL	0.8588216304779053	-376.0802307128906	51.240280664
CH3-MALONATE-S-ALD	1.1228530406951904	-365.2755432128906	-255.33468772
CH4	9.539113998413086	-20.865509033203125	137.128436872
CHOLINE	1.3721699714660645	-355.072998046875	394.44082608
CINNAMALDEHYDE	0.7458176016807556	-380.70458984375	429.27409048
CINNAMYL-ALC	0.6811428070068359	-383.3511962890625	482.0436608
CIS-12-DIHYDRO-3-ETHYLCATECHOL	-0.21428072452545166	-419.99371337890625	306.6179548
CIS-12-DIHYDROXY-ETCETERA-CARBOXYLATE	-1.973341941833496	-491.97796630859375	-168.33056248
CIS-3-HEXENAL	2.1206114292144775	-324.4453125	407.9450208
CIS-3-HEXENOL	1.9309840202331543	-332.2052307128906	454.2294748
CIS-34-DIHYDROXYCYCLOHEXA-162-DIENE-	-3.6464285850524902	-560.4439697265625	-691.70523968
