CPLX-7240	2-OXOPENT-4-ENOATE-HYDRATASE-RXN
MONOMER-9724	RXN-6562
MONOMER-3467	RXN-2462
MONOMER-10723	RXN-2462
MONOMER-3463	RXN-2462
MONOMER-3182	RXN-2462
CPLX-7234	1.13.11.15-RXN
MONOMER-2843	1.13.11.15-RXN
CPLX-7674	RXN-9773
MONOMER-14281	2.6.1.49-RXN
RHA1_RO08161-MONOMER	34-DIHYDROXYPHTHALATE-DECARBOXYLASE-RXN
RHA1_RO10214-MONOMER	34-DIHYDROXYPHTHALATE-DECARBOXYLASE-RXN
MONOMER-18903	RXN-15893
MONOMER-18699	RXN-15576
MONOMER-15839	5.4.4.3-RXN
CPLX-7631	RXN-9587
MONOMER-15400	BETA-UREIDOPROPIONASE-RXN // RXN-11210
MONOMER-18585	RXN-15423
DHPDIOXYGEN-CPLX	1.13.11.16-RXN // RXN-12073
CPLX-2762	5.5.1.2-RXN
MONOMER-14208	5.5.1.2-RXN
CPLX-7804	RXN-10118
MONOMER-14591	3-DEHYDROQUINATE-DEHYDRATASE-RXN
MONOMER-15335	3-DEHYDROQUINATE-DEHYDRATASE-RXN
AROD-CPLX	3-DEHYDROQUINATE-DEHYDRATASE-RXN
CPLX-1121	3-DEHYDROQUINATE-DEHYDRATASE-RXN
CPLX-7980	3-DEHYDROQUINATE-DEHYDRATASE-RXN
MONOMER-15329	DHSHIKIMATE-DEHYDRO-RXN
CPLX-7874	DHSHIKIMATE-DEHYDRO-RXN
MONOMER-19348	RXN-16746
MONOMER-17375	RXN-10445
CPLX-9293	4.1.1.51-RXN
MONOMER-13152	4.1.1.51-RXN
CPLX-7480	1.13.11.6-RXN
HS08749-MONOMER	1.13.11.6-RXN
CPLX-7478	1.13.11.6-RXN
CPLX-7479	1.13.11.6-RXN
MONOMER-15634	1.13.11.6-RXN
MONOMER-17191	3-ISOPROPYLMALISOM-RXN
3-ISOPROPYLMALISOM-CPLX	RXN-13163 // RXN-8991 // 3-ISOPROPYLMALISOM-RXN
MONOMER-13341	RXN-8826
CPLX-1006	METHYLASPARTATE-AMMONIA-LYASE-RXN
MONOMER-13375	CATECHOL-2-3-DIOXYGENASE-RXN
MONOMER-11354	CATECHOL-2-3-DIOXYGENASE-RXN
CPLX-6952	METHYLITACONATE-DELTA-ISOMERASE-RXN
MONOMER-15115	RXN-10889 // METHYLGALLATE-RXN
MONOMER-19128	RXN-16297 // RXN-15200
MONOMER-19124	RXN-16264 // RXN-16300
BSU39730-MONOMER	RXN-14149
EG11166-MONOMER	RXN-8460
MONOMER-19377	RXN-8460
MONOMER-12753	RXN-8460
MONOMER-16495	RXN-36
CPLX-8448	RXN-13134
CPLX-8247	RXN-12213
CPLX-7897	GABATRANSAM-RXN
CPLX-6886	GABATRANSAM-RXN
GABATRANSAM-CPLX	GABATRANSAM-RXN // ACETYLORNTRANSAM-RXN
G6646-MONOMER	GABATRANSAM-RXN
HS02477-MONOMER	RXN-2901 // 2.6.1.22-RXN
CPLX-6885	GABATRANSAM-RXN
MONOMER-13121	R13-RXN
MONOMER-13122	R62-RXN
MONOMER-3183	RXN-2463
CPLX-2745	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
CPLX-8402	5.3.1.17-RXN
CPLX-8162	RXN-11747
MONOMER-13423	RXN-8871
CPLX-7475	RXN-17165 // RXN-8824
MONOMER-12109	RXN-13990 // 4OH2OXOGLUTARALDOL-RXN
MONOMER-2849	4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN
CPLX66-315	RXN-13990 // 4OH2OXOGLUTARALDOL-RXN
MONOMER-4906	RXN-13990 // 4OH2OXOGLUTARALDOL-RXN
G185E-7811-MONOMER	RXN-12735
MONOMER-16929	RXN-12735
MONOMER-16915	RXN-12735
MONOMER-11384	MHPELY-RXN
MONOMER-11226	MHPELY-RXN
MONOMER-3404	MHPELY-RXN
MHPELY-MONOMER	MHPELY-RXN
MONOMER-12778	MHPELY-RXN
MONOMER-353	MHPELY-RXN
MONOMER-19465	4.1.3.17-RXN // RXN-12074
MONOMER-11881	DIHYDRODIPICSYN-RXN
CPLX-4303	DIHYDRODIPICSYN-RXN
CPLX-4362	DIHYDRODIPICSYN-RXN
DIHYDRODIPICSYN-CPLX	DIHYDRODIPICSYN-RXN
MONOMER-15418	RXN-8871
MONOMER-12108	4-HYDROXYGLUTAMATE-AMINOTRANSFERASE-RXN
MONOMER-2124	R365-RXN
MONOMER-13351	RXN-8829
MONOMER-522	RXN-12240 // RXN-18144
CPLX-8833	4.1.1.83-RXN
MONOMER-17199	RXN-13126
CPLX-2783	4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN
MONOMER-13901	4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN
CPLX-7055	RXN-13640 // RXN-10815 // 4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN
CPLX-7056	4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN
MONOMER-18941	RXN-15948 // RXN-15941
CPLX-8133	4-HYDROXYPROLINE-EPIMERASE-RXN
MONOMER-13129	R63-RXN
MONOMER-11668	IMIDHYD-RXN
MONOMER-17144	RXN-13065
MONOMER-20456	RXN-13065
MONOMER-17148	RXN-13067
MONOMER-14435	CATECHOL-12-DIOXYGENASE-RXN // RXN-10080
CPLX-7800	5.4.99.14-RXN
MONOMER-2121	R362-RXN
MONOMER-17016	RXN-12874
CPLX-8178	RXN-2463
CPLX-8450	RXN-8529
MONOMER-15109	RXN-8529
CPLX-2864	RXN-2463
CPLX-2781	RXN-2463
MONOMER-16014	RXN-9983
CPLX-7381	4-PYRIDOXOLACTONASE-RXN
MONOMER-13123	R128-RXN
MONOMER-19558	RXN-17125
MONOMER-20493	RXN-19523
MONOMER-15074	VAGL-RXN
MONOMER-8144	VAGL-RXN
MONOMER-12326	VAGL-RXN
MONOMER-15107	RXN-10883
MONOMER-2845	5.3.3.10-RXN
MONOMER-604	CARBOXY-OXOHEPT-ENEDIOATE-DECARBOXY-RXN // RXN1K-87 // 4.1.1.68-RXN
MONOMER-15121	RXN-10897
MONOMER-15125	RXN-10897
CPLX-7806	RXN-10124
MONOMER-15617	4.2.1.41-RXN
CPLX-8055	4.2.1.41-RXN
CPLX-8982	5.3.1.17-RXN
CPLX-8401	5.3.1.17-RXN
MONOMER-15648	5.3.1.17-RXN
MONOMER-17951	RXN-14360
BSU39750-MONOMER	RXN-14150
MONOMER-15642	RXN-11457
CPLX-9221	RXN-18664
MONOMER-17167	RXN-13090 // RXN-13092 // RXN-10739 // RXN-15851 // RXN-13091
MONOMER-13355	RXN-8841
MONOMER-15902	RXN-11730
MONOMER-17373	RXN-13370 // RXN-14253
MONOMER-13352	RXN-8832
MONOMER-20461	R562-RXN
MONOMER-3123	6-HEXANOLIDE-HYDROLYSIS-RXN
MONOMER-11655	RXN-7585
MONOMER-18627	6-METHYLSALICYLATE-DECARBOXYLASE-RXN
HS15413-MONOMER	ASPARAGHYD-RXN
CPLX-7907	H2NEOPTERINALDOL-RXN // RXN-10856 // RXN-10857
BSU13740-MONOMER	RXN0-6575
MONOMER-19349	RXN-16747
CPLX-8062	RXN-11455
CPLX-102	ACETOACETATE-DECARBOXYLASE-RXN
MONOMER-12921	ACETOACETATE-DECARBOXYLASE-RXN
CPLX-7023	ACETOLACTSYN-RXN // ACETOOHBUTSYN-RXN
CPLX-8899	ACETOLACTSYN-RXN // ACETOOHBUTSYN-RXN
ACETOLACTSYNI-CPLX	ACETOLACTSYN-RXN // ACETOOHBUTSYN-RXN
ACETOLACTSYNII-CPLX	ACETOLACTSYN-RXN // ACETOOHBUTSYN-RXN
ACETOLACTSYNIII-CPLX	ACETOLACTSYN-RXN // ACETOOHBUTSYN-RXN
CPLX-8534	ACETONE-CYANHYDRIN-LYASE-RXN
MONOMER-6603	RXN-4822
CPLX-8207	RXN-12017
CPLX-8359	ACETYLCHOLINESTERASE-RXN
CPLX-7071	RXN-7933
MONOMER-941	R141-RXN
CPLX0-8033	RXN-17577
MONOMER-5961	RXN-17577
YMR062C-MONOMER	GLUTAMATE-N-ACETYLTRANSFERASE-RXN
YOL140W-MONOMER	ACETYLORNTRANSAM-RXN
ARGDBACSU-MONOMER	ACETYLORNTRANSAM-RXN
ACETYLORNDEACET-CPLX	ACETYLORNDEACET-RXN
CPLX-7629	ACETYLPUTRESCINE-DEACETYLASE-RXN
MONOMER-1486	ACETYLPYRUVATE-HYDROLASE-RXN
MONOMER-13634	ACONITATEDEHYDR-RXN
G185E-5659-MONOMER	ACONITATEHYDR-RXN // RXN-14047 // ACONITATEDEHYDR-RXN
MONOMER-11856	ACONITATEHYDR-RXN // RXN-14047 // ACONITATEDEHYDR-RXN
AT4G35830-MONOMER	ACONITATEHYDR-RXN // RXN-14047 // ACONITATEDEHYDR-RXN
YLR304C-MONOMER	ACONITATEHYDR-RXN // RXN-14047 // ACONITATEDEHYDR-RXN
HP0779-MONOMER	ACONITATEHYDR-RXN // RXN-14047 // ACONITATEDEHYDR-RXN
MONOMER-65	4.2.1.99-RXN // ACONITATEDEHYDR-RXN
MONOMER-13618	4.2.1.99-RXN // ACONITATEDEHYDR-RXN
CPLX0-7760	ACONITATEHYDR-RXN // RXN-14047 // ACONITATEDEHYDR-RXN
CPLX-7555	RXN-8977
CPLX0-1683	ADENINE-DEAMINASE-RXN // CATAL-RXN
BSU14520-MONOMER	ADENINE-DEAMINASE-RXN
MONOMER-16357	ADENINE-DEAMINASE-RXN
AGMATIN-CPLX	AGMATIN-RXN
HS04051-MONOMER	AGMATIN-RXN
CPLX-6883	AGMATIN-RXN
MONOMER-17349	AGMATINE-DEIMINASE-RXN
CPLX-31	AGMATINE-DEIMINASE-RXN
CPLX-2242	AGMATINE-DEIMINASE-RXN
CPLX-6999	ALANINE-AMINOTRANSFERASE-RXN
