Namespace(batch_size=100, dataset='qm9', datasetPath='/scratch/zuck016/mpnn-data/qm9/dsgdb9nsd/', epochs=50, logPath='./log/qm9/mpnn/', log_interval=20, lr=0.001, lr_decay=0.6, model='MPNNv2', momentum=0.9, no_cuda=False, plotLr=False, plotPath='./plot/qm9/mpnn/', prefetch=2, resume='./checkpoint/qm9/mpnn/', schedule=[0.1, 0.9])
Prepare files
Define model
	Statistics
	Create model
Optimizer
Logger
=> no best model found at './checkpoint/qm9/mpnn/model_best.pth'
Check cuda
	* Cuda
Epoch: [0][800/1139]	Time 0.563 (1.008)	Data 0.356 (0.808)	Loss 0.3750 (0.5704)	Error Ratio 6.3625 (2.7838)
Epoch: [0][820/1139]	Time 0.839 (1.008)	Data 0.654 (0.808)	Loss 0.4569 (0.5671)	Error Ratio 1.4685 (2.7812)
Epoch: [0][840/1139]	Time 0.968 (1.008)	Data 0.754 (0.807)	Loss 0.4273 (0.5644)	Error Ratio 2.2196 (2.7617)
Epoch: [0][860/1139]	Time 0.244 (1.008)	Data 0.027 (0.808)	Loss 0.4145 (0.5618)	Error Ratio 2.1377 (2.7448)
Epoch: [0][880/1139]	Time 0.837 (1.009)	Data 0.630 (0.808)	Loss 0.5338 (0.5596)	Error Ratio 2.0501 (2.7490)
Epoch: [0][900/1139]	Time 1.048 (1.009)	Data 0.848 (0.809)	Loss 0.4087 (0.5566)	Error Ratio 2.1664 (2.7667)
Epoch: [0][920/1139]	Time 0.888 (1.009)	Data 0.683 (0.808)	Loss 0.3900 (0.5541)	Error Ratio 1.4170 (2.7604)
Epoch: [0][940/1139]	Time 1.849 (1.010)	Data 1.638 (0.810)	Loss 0.4960 (0.5509)	Error Ratio 1.6502 (2.7475)
Epoch: [0][960/1139]	Time 0.969 (1.010)	Data 0.762 (0.810)	Loss 0.5248 (0.5487)	Error Ratio 1.4250 (2.7312)
Epoch: [0][980/1139]	Time 0.233 (1.010)	Data 0.029 (0.810)	Loss 0.3489 (0.5456)	Error Ratio 3.6693 (2.7556)
Epoch: [0][1000/1139]	Time 0.234 (1.010)	Data 0.027 (0.810)	Loss 0.3691 (0.5430)	Error Ratio 1.9475 (2.7473)
Epoch: [0][1020/1139]	Time 0.269 (1.010)	Data 0.029 (0.810)	Loss 0.4015 (0.5406)	Error Ratio 4.0706 (2.7511)
Epoch: [0][1040/1139]	Time 0.206 (1.010)	Data 0.027 (0.810)	Loss 0.3446 (0.5383)	Error Ratio 1.9279 (2.7523)
Epoch: [0][1060/1139]	Time 0.471 (1.010)	Data 0.307 (0.810)	Loss 0.3120 (0.5354)	Error Ratio 1.2864 (2.7559)
